,HIG,AFL,DOX,BCE,BRK.B,BK,CI,JPM,DD,CL,KO,HON,L,PEP,RSG,PG,WMT,SYY,WU,Values
2006-10-02,0.008591213894317645,0.01535021836232527,0.003720584672218125,0.017073661478926392,0.21106897003765843,0.017276760881743763,0.02949629567239749,0.15760528970561294,0.018557160060155054,0.02292588464442746,0.08819760737783694,0.05059331117007543,0.0058091545833341375,0.07247542519309208,0.010815327471671795,0.12055437427244535,0.12961213605960384,0.01572678379904282,0.004549840663115142,10000000.0
2006-10-03,0.008591213894317645,0.01535021836232527,0.003720584672218125,0.017073661478926392,0.21106897003765843,0.017276760881743763,0.02949629567239749,0.15760528970561294,0.018557160060155054,0.02292588464442746,0.08819760737783694,0.05059331117007543,0.0058091545833341375,0.07247542519309208,0.010815327471671795,0.12055437427244535,0.12961213605960384,0.01572678379904282,0.004549840663115142,9973761.347816363
2006-10-04,0.00859238024246633,0.015352302316815176,0.0037210897809370844,0.01707597940904688,0.211097624882652,0.01727910638475621,0.029500300106494202,0.15762668629055804,0.018559679390897747,0.02292899707573704,0.0882095811358354,0.050600179747152536,0.005809943237507697,0.07248526449857778,0.010816795766761311,0.1205707408037619,0.12962973227787986,0.015728918876273396,0.004414697775889571,10017773.310557935
2006-10-05,0.008639342773339958,0.014975680477102956,0.0037414277767880036,0.016657072417300165,0.21225140048919514,0.017373547103644818,0.029661537006565895,0.15848821102672392,0.01866111921220499,0.023054317848641006,0.0886916996013297,0.050876740192166627,0.005841698075045841,0.07288144010717962,0.01087591606763436,0.12122973248914704,0.12644966278443168,0.01534305789974885,0.004306396651809446,10129836.965610735
2006-10-06,0.008639342773339958,0.014975680477102956,0.0037414277767880036,0.016657072417300165,0.21225140048919514,0.017373547103644818,0.029661537006565895,0.15848821102672392,0.01866111921220499,0.023054317848641006,0.0886916996013297,0.050876740192166627,0.005841698075045841,0.07288144010717962,0.01087591606763436,0.12122973248914704,0.12644966278443168,0.01534305789974885,0.004306396651809446,10127571.953543048
2006-10-09,0.008639342773339958,0.014975680477102956,0.0037414277767880036,0.016657072417300165,0.21225140048919514,0.017373547103644818,0.029661537006565895,0.15848821102672392,0.01866111921220499,0.023054317848641006,0.0886916996013297,0.050876740192166627,0.005841698075045841,0.07288144010717962,0.01087591606763436,0.12122973248914704,0.12644966278443168,0.01534305789974885,0.004306396651809446,10090667.233152855
2006-10-10,0.008502717826997455,0.014738850940955766,0.0037954964859545238,0.01689778972038007,0.21531872128967552,0.017098797044168154,0.0291924612900121,0.16077858077313198,0.018366007132739146,0.022689730515822876,0.08728910463352145,0.050072161408663975,0.005926118540467582,0.07172887293798066,0.010703921335147127,0.12298166665421542,0.12444995298633652,0.015100418555845065,0.0043686299279846325,10106762.204417052
2006-10-11,0.008502717826997455,0.014738850940955766,0.0037954964859545238,0.01689778972038007,0.21531872128967552,0.017098797044168154,0.0291924612900121,0.16077858077313198,0.018366007132739146,0.022689730515822876,0.08728910463352145,0.050072161408663975,0.005926118540467582,0.07172887293798066,0.010703921335147127,0.12298166665421542,0.12444995298633652,0.015100418555845065,0.0043686299279846325,10093154.084683593
2006-10-12,0.008627827533692683,0.0145095234599161,0.003736440888479134,0.016634870476048436,0.21848693910128034,0.016832750249159773,0.029622001625704383,0.16314429036066336,0.01863624610953357,0.02233669222501531,0.08593093970139717,0.05080892741159345,0.006013315948111165,0.07061281566766985,0.010861419735773453,0.12106814734793753,0.12251358804525714,0.015322607387103046,0.004300656725664273,10136859.74814662
2006-10-13,0.008627827533692683,0.0145095234599161,0.003736440888479134,0.016634870476048436,0.21848693910128034,0.016832750249159773,0.029622001625704383,0.16314429036066336,0.01863624610953357,0.02233669222501531,0.08593093970139717,0.05080892741159345,0.006013315948111165,0.07061281566766985,0.010861419735773453,0.12106814734793753,0.12251358804525714,0.015322607387103046,0.004300656725664273,10130977.465027248
2006-10-16,0.008627827533692683,0.0145095234599161,0.003736440888479134,0.016634870476048436,0.21848693910128034,0.016832750249159773,0.029622001625704383,0.16314429036066336,0.01863624610953357,0.02233669222501531,0.08593093970139717,0.05080892741159345,0.006013315948111165,0.07061281566766985,0.010861419735773453,0.12106814734793753,0.12251358804525714,0.015322607387103046,0.004300656725664273,10091234.807492586
2006-10-17,0.008627827533692683,0.0145095234599161,0.003736440888479134,0.016634870476048436,0.21848693910128034,0.016832750249159773,0.029622001625704383,0.16314429036066336,0.01863624610953357,0.02233669222501531,0.08593093970139717,0.05080892741159345,0.006013315948111165,0.07061281566766985,0.010861419735773453,0.12106814734793753,0.12251358804525714,0.015322607387103046,0.004300656725664273,10049821.010546537
2006-10-18,0.008742332466828427,0.014263458610015697,0.003673075143289412,0.016352762182270945,0.22138660674706112,0.01654728614174695,0.030015132492339412,0.16037755061000195,0.01832019678411514,0.02263313549995458,0.0870713793388813,0.04994726637002494,0.005911337017496154,0.07154995954368941,0.010677222534233949,0.12267491336902542,0.12043589833088453,0.015062753567836944,0.004357733250303751,10094907.913476871
2006-10-19,0.008742332466828427,0.014263458610015697,0.003673075143289412,0.016352762182270945,0.22138660674706112,0.01654728614174695,0.030015132492339412,0.16037755061000195,0.01832019678411514,0.02263313549995458,0.0870713793388813,0.04994726637002494,0.005911337017496154,0.07154995954368941,0.010677222534233949,0.12267491336902542,0.12043589833088453,0.015062753567836944,0.004357733250303751,10091677.200540029
