,WMT,BK,CI,JPM,DD,CL,HIG,AFL,DOX,BCE,BRK.B,KO,HON,L,PEP,RSG,PG,SYY,WU,Values
2006-10-13,0.13351082896549624,0.017757590283764686,0.02943199868847948,0.16418351857399927,0.019176023599388452,0.022663183316679398,0.008867058221563985,0.015653788117893273,0.003705989441373007,0.01715412844216902,0.19696373872368383,0.0900598390157514,0.05073187232127961,0.005991743687785663,0.07294591435363636,0.01124952180880666,0.11927068138789532,0.016199840584416956,0.004482740465937464,10000000.0
2006-10-20,0.13351082896549624,0.017757590283764686,0.02943199868847948,0.16418351857399927,0.019176023599388452,0.022663183316679398,0.008867058221563985,0.015653788117893273,0.003705989441373007,0.01715412844216902,0.19696373872368383,0.0900598390157514,0.05073187232127961,0.005991743687785663,0.07294591435363636,0.01124952180880666,0.11927068138789532,0.016199840584416956,0.004482740465937464,10000939.738325924
2006-10-27,0.13180583692371398,0.017527608272411465,0.02901375416459988,0.16201264060222528,0.018930848468303882,0.022373252391288283,0.00874167502391556,0.015442881667316393,0.0036554071385144133,0.016925934488284465,0.20748058878864148,0.0888536765591475,0.05006464701005677,0.005913241069374164,0.07199568443459299,0.011099591996738361,0.11774275112504658,0.015992392077053285,0.004427587798775484,10059830.606369356
2006-11-03,0.12976376182040286,0.017282692641551353,0.02872663975324043,0.1597570309117493,0.018667285050688355,0.02208091452592703,0.008628617428703285,0.015228074986083934,0.003603403058948471,0.016627108897500468,0.21858142463312832,0.08761436477813457,0.04936127945235813,0.0058348135423831925,0.07099789292607431,0.01094196366894892,0.11614528501645664,0.015791445764946493,0.004366001142773764,10227130.874690237
2006-11-10,0.12976376182040286,0.017282692641551353,0.02872663975324043,0.1597570309117493,0.018667285050688355,0.02208091452592703,0.008628617428703285,0.015228074986083934,0.003603403058948471,0.016627108897500468,0.21858142463312832,0.08761436477813457,0.04936127945235813,0.0058348135423831925,0.07099789292607431,0.01094196366894892,0.11614528501645664,0.015791445764946493,0.004366001142773764,10214677.586148059
2006-11-17,0.13173348633233375,0.017542307832841292,0.029243810587841975,0.16196671603688603,0.018922217285743705,0.022393474037812493,0.008785155801535638,0.015434175049574325,0.003644807321507685,0.016837612295541066,0.20744872309521514,0.08891667226822116,0.05005092964280102,0.005908174055746264,0.07192776228939478,0.011093690632540476,0.11771722044742058,0.016012628185499603,0.0044204368015428935,10218620.874581343
2006-11-24,0.13013307490654738,0.017293183023274202,0.029348015296731072,0.1594285036989493,0.01858278225842772,0.022039053436291776,0.008603022484260123,0.015215676584224219,0.0036078474768699528,0.016647974829595277,0.21841892298606158,0.0876024256274397,0.049311144128194546,0.0058583410063096026,0.07097685809422763,0.010885331586933047,0.11588292962959125,0.01581237228091362,0.004352540665157908,10273073.71146677
2006-12-01,0.13013307490654738,0.017293183023274202,0.029348015296731072,0.1594285036989493,0.01858278225842772,0.022039053436291776,0.008603022484260123,0.015215676584224219,0.0036078474768699528,0.016647974829595277,0.21841892298606158,0.0876024256274397,0.049311144128194546,0.0058583410063096026,0.07097685809422763,0.010885331586933047,0.11588292962959125,0.01581237228091362,0.004352540665157908,10250459.158856278
2006-12-08,0.13013307490654738,0.017293183023274202,0.029348015296731072,0.1594285036989493,0.01858278225842772,0.022039053436291776,0.008603022484260123,0.015215676584224219,0.0036078474768699528,0.016647974829595277,0.21841892298606158,0.0876024256274397,0.049311144128194546,0.0058583410063096026,0.07097685809422763,0.010885331586933047,0.11588292962959125,0.01581237228091362,0.004352540665157908,10170197.31605755
2006-12-15,0.12822008678307498,0.01704155076303239,0.028926152741203637,0.15715411706863283,0.018310715427034257,0.021714086950682537,0.008485924716768817,0.014994934915936392,0.0035535286419656627,0.01640695122829126,0.22979051576361245,0.0863165506907313,0.04860138471595046,0.005773637311177718,0.06992693114883734,0.010722951175155638,0.11419231873820415,0.015579883611092193,0.004287777608616085,10279505.646805746
2006-12-22,0.13007938156894613,0.017293872940611833,0.029368981303072094,0.15946771996298176,0.018579981667123716,0.02203515559967581,0.008614162896599966,0.015220089274591776,0.0036075720760078657,0.016651460412748596,0.21841184940430217,0.08758521012601302,0.049332910898015066,0.005859053839324624,0.07096763111921886,0.010879175261143898,0.1158821654247751,0.015813758539394544,0.004349867685453044,10546377.674807783
2006-12-29,0.13007938156894613,0.017293872940611833,0.029368981303072094,0.15946771996298176,0.018579981667123716,0.02203515559967581,0.008614162896599966,0.015220089274591776,0.0036075720760078657,0.016651460412748596,0.21841184940430217,0.08758521012601302,0.049332910898015066,0.005859053839324624,0.07096763111921886,0.010879175261143898,0.1158821654247751,0.015813758539394544,0.004349867685453044,10364591.902245538
2007-01-05,0.13195150654410956,0.017535754846591197,0.029699225930993365,0.16170872754459734,0.0188400988579395,0.022344303968683487,0.008727947838673792,0.015433876736517985,0.003658005640275704,0.016875171722697622,0.20745466324352738,0.08882245486077832,0.05002094120309704,0.005937808784109807,0.07198664969648293,0.011037559213310634,0.11750989267273765,0.016045455092234703,0.0044099556026419035,10464985.449579705
2007-01-12,0.13195150654410956,0.017535754846591197,0.029699225930993365,0.16170872754459734,0.0188400988579395,0.022344303968683487,0.008727947838673792,0.015433876736517985,0.003658005640275704,0.016875171722697622,0.20745466324352738,0.08882245486077832,0.05002094120309704,0.005937808784109807,0.07198664969648293,0.011037559213310634,0.11750989267273765,0.016045455092234703,0.0044099556026419035,10354958.896480283
