,WMT_open,BK_open,CI_open,JPM_open,DD_open,CL_open,HIG_open,AFL_open,DOX_open,BCE_open,BRK.B_open,KO_open,HON_open,L_open,PEP_open,RSG_open,PG_open,SYY_open,WU_open,Values
2006-10-13,0.05412573580654053,0.05412573580654053,0.05412573580654053,0.05412573580654053,0.05412573580654053,0.050577113266006765,0.05412573580654053,0.050577113266006765,0.050577113266006765,0.05412573580654053,0.050577113266006765,0.050577113266006765,0.05412573580654053,0.05412573580654053,0.050577113266006765,0.05412573580654053,0.050577113266006765,0.05412573580654053,0.050577113266006765,10000000.0
2006-10-20,0.05412573580654053,0.05412573580654053,0.05412573580654053,0.05412573580654053,0.05412573580654053,0.050577113266006765,0.05412573580654053,0.050577113266006765,0.050577113266006765,0.05412573580654053,0.050577113266006765,0.050577113266006765,0.05412573580654053,0.05412573580654053,0.050577113266006765,0.05412573580654053,0.050577113266006765,0.05412573580654053,0.050577113266006765,9993819.247373179
2006-10-27,0.05412573580654053,0.05412573580654053,0.05412573580654053,0.05412573580654053,0.05412573580654053,0.050577113266006765,0.05412573580654053,0.050577113266006765,0.050577113266006765,0.05412573580654053,0.050577113266006765,0.050577113266006765,0.05412573580654053,0.05412573580654053,0.050577113266006765,0.05412573580654053,0.050577113266006765,0.05412573580654053,0.050577113266006765,9981678.642982412
2006-11-03,0.05294570015963011,0.05294570015963011,0.0566605089511608,0.05294570015963011,0.05294570015963011,0.05294570015963011,0.0566605089511608,0.04947444379311432,0.04947444379311432,0.05294570015963011,0.05294570015963011,0.04947444379311432,0.05294570015963011,0.0566605089511608,0.04947444379311432,0.05294570015963011,0.04947444379311432,0.0566605089511608,0.04947444379311432,10178275.134194102
2006-11-10,0.05294570015963011,0.05294570015963011,0.0566605089511608,0.05294570015963011,0.05294570015963011,0.05294570015963011,0.0566605089511608,0.04947444379311432,0.04947444379311432,0.05294570015963011,0.05294570015963011,0.04947444379311432,0.05294570015963011,0.0566605089511608,0.04947444379311432,0.05294570015963011,0.04947444379311432,0.0566605089511608,0.04947444379311432,10094924.210696187
2006-11-17,0.05404764169915935,0.05404764169915935,0.057839765590999494,0.05404764169915935,0.05404764169915935,0.05404764169915935,0.057839765590999494,0.05050413920929291,0.04719295786242067,0.05050413920929291,0.05050413920929291,0.05050413920929291,0.05404764169915935,0.05404764169915935,0.04719295786242067,0.05404764169915935,0.05050413920929291,0.057839765590999494,0.04719295786242067,10149308.975279272
2006-11-24,0.05618729751384063,0.05250351368202438,0.06012954525345809,0.05250351368202438,0.05250351368202438,0.05250351368202438,0.05618729751384063,0.04906124819901657,0.04906124819901657,0.05250351368202438,0.05250351368202438,0.04906124819901657,0.05250351368202438,0.05618729751384063,0.04906124819901657,0.05250351368202438,0.04906124819901657,0.06012954525345809,0.04584466650028401,10183111.254361767
2006-12-01,0.05618729751384063,0.05250351368202438,0.06012954525345809,0.05250351368202438,0.05250351368202438,0.05250351368202438,0.05618729751384063,0.04906124819901657,0.04906124819901657,0.05250351368202438,0.05250351368202438,0.04906124819901657,0.05250351368202438,0.05618729751384063,0.04906124819901657,0.05250351368202438,0.04906124819901657,0.06012954525345809,0.04584466650028401,10170335.004610227
2006-12-08,0.05638137718240004,0.05268486898801862,0.060337242059138145,0.05268486898801862,0.05268486898801862,0.05268486898801862,0.05638137718240004,0.049230713384403546,0.049230713384403546,0.05268486898801862,0.05268486898801862,0.049230713384403546,0.049230713384403546,0.05638137718240004,0.049230713384403546,0.05268486898801862,0.049230713384403546,0.060337242059138145,0.046003021111971826,10199657.698192425
2006-12-15,0.0575517282417642,0.053778488819849146,0.06158970800963407,0.053778488819849146,0.053778488819849146,0.05025263268545737,0.0575517282417642,0.05025263268545737,0.04695794075357921,0.053778488819849146,0.053778488819849146,0.05025263268545737,0.05025263268545737,0.0575517282417642,0.04695794075357921,0.05025263268545737,0.05025263268545737,0.0575517282417642,0.043879257304160604,10320976.535624595
2006-12-22,0.05606505683992376,0.05238928742129502,0.06420839551445261,0.05238928742129502,0.05238928742129502,0.04895451090591979,0.05999872785416446,0.05238928742129502,0.04895451090591979,0.05606505683992376,0.05238928742129502,0.04895451090591979,0.05238928742129502,0.05606505683992376,0.0457449271788278,0.04895451090591979,0.04895451090591979,0.05999872785416446,0.04274577202125029,10454014.566920161
2006-12-29,0.05606505683992376,0.05238928742129502,0.06420839551445261,0.05238928742129502,0.05238928742129502,0.04895451090591979,0.05999872785416446,0.05238928742129502,0.04895451090591979,0.05606505683992376,0.05238928742129502,0.04895451090591979,0.05238928742129502,0.05606505683992376,0.0457449271788278,0.04895451090591979,0.04895451090591979,0.05999872785416446,0.04274577202125029,10384875.745088171
2007-01-05,0.05912441382389287,0.05162585975096667,0.06327273732523289,0.05162585975096667,0.05162585975096667,0.04824113551845883,0.05912441382389287,0.05162585975096667,0.04824113551845883,0.055248065087660836,0.05162585975096667,0.04824113551845883,0.05162585975096667,0.055248065087660836,0.04824113551845883,0.05162585975096667,0.04824113551845883,0.06327273732523289,0.04212287167736614,10482793.893046109
2007-01-12,0.05912441382389287,0.05162585975096667,0.06327273732523289,0.05162585975096667,0.05162585975096667,0.04824113551845883,0.05912441382389287,0.05162585975096667,0.04824113551845883,0.055248065087660836,0.05162585975096667,0.04824113551845883,0.05162585975096667,0.055248065087660836,0.04824113551845883,0.05162585975096667,0.04824113551845883,0.06327273732523289,0.04212287167736614,10355903.0361766
