,HIG,AFL,DOX,BCE,BRK.B,BK,CI,JPM,DD,CL,KO,HON,L,PEP,RSG,PG,WMT,SYY,WU,Values
2006-10-02,0.05224138585688637,0.05255090091176664,0.052638772720663286,0.0527897520872485,0.05417143530527838,0.0525258216339885,0.05261365150713397,0.05255090091176664,0.05251773611955994,0.05259638762761513,0.05245378536033763,0.052767707321343234,0.05253522496025701,0.052310009058900195,0.05251955368488902,0.052594818464945584,0.052522687565938246,0.05234435445576631,0.05275511444571577,10000000.0
2006-10-03,0.05224138585688637,0.05255090091176664,0.052638772720663286,0.0527897520872485,0.05417143530527838,0.0525258216339885,0.05261365150713397,0.05255090091176664,0.05251773611955994,0.05259638762761513,0.05245378536033763,0.052767707321343234,0.05253522496025701,0.052310009058900195,0.05251955368488902,0.052594818464945584,0.052522687565938246,0.05234435445576631,0.05275511444571577,9967071.193943046
2006-10-04,0.05228879849089076,0.05247596673556387,0.052513001476791714,0.05268673093735258,0.055668838973584336,0.052435277091079036,0.05253862785265227,0.0524566306159294,0.05238306019696891,0.0524845321512722,0.05241209259370083,0.052701712172199766,0.05241981962025507,0.0521850233389408,0.05243638137053808,0.05257607589312989,0.052502127873380273,0.052235785066435385,0.05259951754933488,10013245.66421983
2006-10-05,0.0521953944869244,0.052370769135220804,0.05241815438736616,0.05257901922311006,0.057245428345497264,0.05234525525599435,0.05260356999198644,0.05236292681175869,0.05230092928306365,0.05240119988823206,0.05231794805266569,0.05261803508180024,0.05233815156291563,0.05209491306651473,0.05236041506585859,0.052491032215391704,0.05234687821771543,0.05212692164273058,0.052483058285253494,10108557.5847281
2006-10-06,0.05224350301959911,0.05300088597829786,0.05256047094852909,0.05283199246955329,0.055796791660294005,0.05192665432948208,0.051610036533967146,0.05220830754773993,0.0533582969628901,0.05258267521937853,0.05244434371768331,0.052150555314478805,0.05218360545620445,0.052096280143486766,0.052580952668954795,0.052617846036867415,0.05241076052063742,0.05289594512751668,0.052500096344439244,10118476.011891983
2006-10-09,0.05224350301959911,0.05300088597829786,0.05256047094852909,0.05283199246955329,0.055796791660294005,0.05192665432948208,0.051610036533967146,0.05220830754773993,0.0533582969628901,0.05258267521937853,0.05244434371768331,0.052150555314478805,0.05218360545620445,0.052096280143486766,0.052580952668954795,0.052617846036867415,0.05241076052063742,0.05289594512751668,0.052500096344439244,10093885.145655766
2006-10-10,0.052134682208035917,0.05291473615909948,0.05248055122962357,0.05275007620130631,0.05739611565918345,0.05183524721895783,0.051490580481015645,0.052135575066671505,0.053264369714719526,0.05249208317513883,0.05234573881422718,0.05206813239865035,0.0521058230761001,0.052002232559819006,0.052496273445474376,0.05253941639857524,0.052313789307094086,0.05281194775473473,0.052422629131572966,10115254.761635546
2006-10-11,0.052134682208035917,0.05291473615909948,0.05248055122962357,0.05275007620130631,0.05739611565918345,0.05183524721895783,0.051490580481015645,0.052135575066671505,0.053264369714719526,0.05249208317513883,0.05234573881422718,0.05206813239865035,0.0521058230761001,0.052002232559819006,0.052496273445474376,0.05253941639857524,0.052313789307094086,0.05281194775473473,0.052422629131572966,10113427.596034976
2006-10-12,0.05206127336291514,0.052792240352485524,0.05237184296988311,0.05262011152204157,0.05903902362488402,0.051735578558566545,0.05143132873452574,0.05209092210870089,0.05318432128423916,0.05238193029261934,0.05225077108025656,0.0519919969025557,0.05202328263010785,0.051872703480200975,0.05243373119292425,0.05244338609063362,0.05221746326247849,0.052747598765296166,0.052310493784685594,10136694.6329627
2006-10-13,0.05206127336291514,0.052792240352485524,0.05237184296988311,0.05262011152204157,0.05903902362488402,0.051735578558566545,0.05143132873452574,0.05209092210870089,0.05318432128423916,0.05238193029261934,0.05225077108025656,0.0519919969025557,0.05202328263010785,0.051872703480200975,0.05243373119292425,0.05244338609063362,0.05221746326247849,0.052747598765296166,0.052310493784685594,10097239.341583814
2006-10-16,0.05206127336291514,0.052792240352485524,0.05237184296988311,0.05262011152204157,0.05903902362488402,0.051735578558566545,0.05143132873452574,0.05209092210870089,0.05318432128423916,0.05238193029261934,0.05225077108025656,0.0519919969025557,0.05202328263010785,0.051872703480200975,0.05243373119292425,0.05244338609063362,0.05221746326247849,0.052747598765296166,0.052310493784685594,10089624.058319107
2006-10-17,0.05206127336291514,0.052792240352485524,0.05237184296988311,0.05262011152204157,0.05903902362488402,0.051735578558566545,0.05143132873452574,0.05209092210870089,0.05318432128423916,0.05238193029261934,0.05225077108025656,0.0519919969025557,0.05202328263010785,0.051872703480200975,0.05243373119292425,0.05244338609063362,0.05221746326247849,0.052747598765296166,0.052310493784685594,10035463.912823845
2006-10-18,0.052010462760755646,0.05268305318041585,0.05223680202517258,0.052494124643063765,0.06071495554120695,0.051614642544737216,0.051438101887127934,0.05194848659002088,0.053082618077639865,0.05230107684948163,0.05215752162369273,0.05187414621293841,0.051926750440314695,0.05181692355775924,0.052320825415272214,0.05237955046248124,0.052115387716003866,0.05263700828450271,0.05224756218741238,10075127.266649257
2006-10-19,0.052010462760755646,0.05268305318041585,0.05223680202517258,0.052494124643063765,0.06071495554120695,0.051614642544737216,0.051438101887127934,0.05194848659002088,0.053082618077639865,0.05230107684948163,0.05215752162369273,0.05187414621293841,0.051926750440314695,0.05181692355775924,0.052320825415272214,0.05237955046248124,0.052115387716003866,0.05263700828450271,0.05224756218741238,10048205.519442815
