,HIG,AFL,DOX,BCE,BRK.B,BK,CI,JPM,DD,CL,KO,HON,L,PEP,RSG,PG,WMT,SYY,WU,Values
2006-10-02,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,10000000.0
2006-10-03,0.052422747321023394,0.052578899517885885,0.0529010582775174,0.05344184941037754,0.05289067263565009,0.05260654094974656,0.05118595289172616,0.05272912082035188,0.05225628064747579,0.052682156236869254,0.05244621833766361,0.05322671566157231,0.05248799740351574,0.05226772232125823,0.05261432061753169,0.052683464075851984,0.05262881268806061,0.052027798090361246,0.053921672095560653,10000000.0
2006-10-04,0.052422747321023394,0.052578899517885885,0.0529010582775174,0.05344184941037754,0.05289067263565009,0.05260654094974656,0.05118595289172616,0.05272912082035188,0.05225628064747579,0.052682156236869254,0.05244621833766361,0.05322671566157231,0.05248799740351574,0.05226772232125823,0.05261432061753169,0.052683464075851984,0.05262881268806061,0.052027798090361246,0.053921672095560653,9967071.193943046
2006-10-05,0.053390907138951345,0.052830466712852686,0.05204533964382298,0.053705663657221646,0.052616190187162536,0.05288274063312533,0.05105225843561487,0.05244554123955078,0.051398869622483,0.052433752112519855,0.05318763846421318,0.053768206811728,0.05223718839016193,0.051467101365240256,0.05302265913863566,0.05325397166529336,0.053551378492728195,0.05156386355845177,0.05314626273024271,10012756.111930195
2006-10-06,0.05342229822704863,0.052688720127579185,0.0521401112075598,0.053039347897168215,0.05315433823147019,0.05317526471237011,0.052538978988988384,0.05213750959971289,0.05149999560737099,0.05282524174631208,0.05326861449111692,0.05415927472488262,0.05275553627422379,0.05137131912209836,0.05344381496312728,0.053114181181155046,0.052162155917532434,0.05080266979118742,0.05230062718909571,10108155.297164008
2006-10-09,0.05314986053175438,0.05366370172562988,0.05179496897220004,0.053643650096669146,0.05353023809523573,0.05195019464201551,0.05215623801915889,0.05189413299407065,0.05302904611111243,0.05238514368565672,0.05293281902508959,0.05279635771203231,0.05251877362781948,0.05122837069895254,0.05351437418311547,0.05279479095664538,0.051950443892942615,0.0515851810889193,0.05348171394097984,10117199.627404865
2006-10-10,0.05314986053175438,0.05366370172562988,0.05179496897220004,0.053643650096669146,0.05353023809523573,0.05195019464201551,0.05215623801915889,0.05189413299407065,0.05302904611111243,0.05238514368565672,0.05293281902508959,0.05279635771203231,0.05251877362781948,0.05122837069895254,0.05351437418311547,0.05279479095664538,0.051950443892942615,0.0515851810889193,0.05348171394097984,10091823.358425055
2006-10-11,0.052951833171454535,0.053632598974160645,0.051832265377676365,0.05526965969104594,0.05378437344282936,0.05172321220589117,0.05189448152677844,0.051899848291629094,0.052850419692369366,0.05217537173412016,0.05270880063907792,0.052792816140226,0.052586059730548744,0.05088125551742499,0.053438720322900334,0.05268628223483713,0.05175732836404959,0.05154343328329796,0.05359123965968229,10112931.08071297
2006-10-12,0.052951833171454535,0.053632598974160645,0.051832265377676365,0.05526965969104594,0.05378437344282936,0.05172321220589117,0.05189448152677844,0.051899848291629094,0.052850419692369366,0.05217537173412016,0.05270880063907792,0.052792816140226,0.052586059730548744,0.05088125551742499,0.053438720322900334,0.05268628223483713,0.05175732836404959,0.05154343328329796,0.05359123965968229,10111501.181889068
2006-10-13,0.053492418820054774,0.05293164556217516,0.05155322236662499,0.05391073836803236,0.054525996012023674,0.051724256114382604,0.05206302919013671,0.052595260195944,0.05309512821033369,0.05149782415292633,0.05284928658984183,0.053533222093006545,0.05286575040606668,0.05017931717126973,0.054095251714351394,0.05251227797467186,0.05173087008743661,0.05243424305213186,0.05241026191858906,10133633.312116371
2006-10-16,0.053492418820054774,0.05293164556217516,0.05155322236662499,0.05391073836803236,0.054525996012023674,0.051724256114382604,0.05206302919013671,0.052595260195944,0.05309512821033369,0.05149782415292633,0.05284928658984183,0.053533222093006545,0.05286575040606668,0.05017931717126973,0.054095251714351394,0.05251227797467186,0.05173087008743661,0.05243424305213186,0.05241026191858906,10093250.255009701
2006-10-17,0.053492418820054774,0.05293164556217516,0.05155322236662499,0.05391073836803236,0.054525996012023674,0.051724256114382604,0.05206302919013671,0.052595260195944,0.05309512821033369,0.05149782415292633,0.05284928658984183,0.053533222093006545,0.05286575040606668,0.05017931717126973,0.054095251714351394,0.05251227797467186,0.05173087008743661,0.05243424305213186,0.05241026191858906,10086889.50900493
2006-10-18,0.053492418820054774,0.05293164556217516,0.05155322236662499,0.05391073836803236,0.054525996012023674,0.051724256114382604,0.05206302919013671,0.052595260195944,0.05309512821033369,0.05149782415292633,0.05284928658984183,0.053533222093006545,0.05286575040606668,0.05017931717126973,0.054095251714351394,0.05251227797467186,0.05173087008743661,0.05243424305213186,0.05241026191858906,10032282.595729362
2006-10-19,0.053820131025553185,0.05283259052389776,0.05106458802091303,0.05362978097584572,0.054945091841332803,0.05052450519756648,0.052717759715839405,0.0522357935754784,0.05305512876648479,0.051782577203028445,0.053555767528790106,0.05251447984363709,0.052938504276509875,0.05045916123636456,0.05386342791645398,0.05267968054899606,0.05181972378297282,0.05147110737822484,0.054090200642110446,10071760.623986667
