,HIG,AFL,DOX,BCE,BRK.B,BK,CI,JPM,DD,CL,KO,HON,L,PEP,RSG,PG,WMT,SYY,WU,Values
2006-10-02,0.008606556066551311,0.015468738751765616,0.0036435351422301806,0.0167680400987531,0.21271628938516324,0.01740184749068884,0.028871672112140666,0.1588221740438588,0.01868863970951066,0.022433035069909454,0.0887143387345687,0.0496669331300012,0.005852261325639071,0.07270022388820326,0.01089233228702837,0.11795923536378997,0.13054275979780192,0.015785921753081654,0.004465465849313927,10000000.0
2006-10-03,0.008606556066551311,0.015468738751765616,0.0036435351422301806,0.0167680400987531,0.21271628938516324,0.01740184749068884,0.028871672112140666,0.1588221740438588,0.01868863970951066,0.022433035069909454,0.0887143387345687,0.0496669331300012,0.005852261325639071,0.07270022388820326,0.01089233228702837,0.11795923536378997,0.13054275979780192,0.015785921753081654,0.004465465849313927,9973761.347816363
2006-10-04,0.008572387969709898,0.015371407280025187,0.003617116461781013,0.016653762877856994,0.21753092789606715,0.01728719431325607,0.028690007505647715,0.15776468878464397,0.018549875691406457,0.022276240129844964,0.08821184936515099,0.04936308413856969,0.0058109492070982,0.07217308639439285,0.010822086751991663,0.11734257102680293,0.12985575368877325,0.015676411913859673,0.004430598603121419,10017553.159073826
2006-10-05,0.008516781993954524,0.015268357657041652,0.0035935820616275096,0.016541458346340472,0.2226382854318523,0.017176254207972266,0.028590210009177625,0.15674132639243646,0.018433581939213465,0.022136144593965363,0.08763877949261038,0.049052639122500866,0.005774576358202434,0.07170920441130985,0.010755523882713593,0.11660112343283813,0.12886211931882713,0.015570078762280441,0.004399972585135613,10129378.213504149
2006-10-06,0.008516781993954524,0.015268357657041652,0.0035935820616275096,0.016541458346340472,0.2226382854318523,0.017176254207972266,0.028590210009177625,0.15674132639243646,0.018433581939213465,0.022136144593965363,0.08763877949261038,0.049052639122500866,0.005774576358202434,0.07170920441130985,0.010755523882713593,0.11660112343283813,0.12886211931882713,0.015570078762280441,0.004399972585135613,10127423.736565245
2006-10-09,0.008516781993954524,0.015268357657041652,0.0035935820616275096,0.016541458346340472,0.2226382854318523,0.017176254207972266,0.028590210009177625,0.15674132639243646,0.018433581939213465,0.022136144593965363,0.08763877949261038,0.049052639122500866,0.005774576358202434,0.07170920441130985,0.010755523882713593,0.11660112343283813,0.12886211931882713,0.015570078762280441,0.004399972585135613,10091552.723583616
2006-10-10,0.008456073143068756,0.015166472753869297,0.0035699773923251257,0.016432311398797757,0.22786198814892863,0.017059333153100268,0.028379825837621636,0.1557316303100306,0.018308102086662035,0.021986285981471294,0.08703175848373965,0.048727507889692,0.00573681791984817,0.07121786304671908,0.010683913244501965,0.11583869930714047,0.127973411054475,0.015466760911259906,0.004371267936748393,10107194.208105015
2006-10-11,0.008456073143068756,0.015166472753869297,0.0035699773923251257,0.016432311398797757,0.22786198814892863,0.017059333153100268,0.028379825837621636,0.1557316303100306,0.018308102086662035,0.021986285981471294,0.08703175848373965,0.048727507889692,0.00573681791984817,0.07121786304671908,0.010683913244501965,0.11583869930714047,0.127973411054475,0.015466760911259906,0.004371267936748393,10095365.383070147
2006-10-12,0.00840005758954366,0.015052322819534905,0.0035439730599442377,0.016306201556570584,0.23315998778916938,0.016937591861720693,0.028199094280497328,0.15478546784852903,0.018185097396446918,0.021825542108134845,0.08642006836368456,0.04840209670762921,0.005697810942614722,0.07066938452105713,0.010615442881282907,0.11502298392008553,0.12707052196780685,0.015367221747867981,0.004339132637879532,10138433.118681934
2006-10-13,0.00840005758954366,0.015052322819534905,0.0035439730599442377,0.016306201556570584,0.23315998778916938,0.016937591861720693,0.028199094280497328,0.15478546784852903,0.018185097396446918,0.021825542108134845,0.08642006836368456,0.04840209670762921,0.005697810942614722,0.07066938452105713,0.010615442881282907,0.11502298392008553,0.12707052196780685,0.015367221747867981,0.004339132637879532,10133613.750945965
2006-10-16,0.00840005758954366,0.015052322819534905,0.0035439730599442377,0.016306201556570584,0.23315998778916938,0.016937591861720693,0.028199094280497328,0.15478546784852903,0.018185097396446918,0.021825542108134845,0.08642006836368456,0.04840209670762921,0.005697810942614722,0.07066938452105713,0.010615442881282907,0.11502298392008553,0.12707052196780685,0.015367221747867981,0.004339132637879532,10092351.52613655
2006-10-17,0.00840005758954366,0.015052322819534905,0.0035439730599442377,0.016306201556570584,0.23315998778916938,0.016937591861720693,0.028199094280497328,0.15478546784852903,0.018185097396446918,0.021825542108134845,0.08642006836368456,0.04840209670762921,0.005697810942614722,0.07066938452105713,0.010615442881282907,0.11502298392008553,0.12707052196780685,0.015367221747867981,0.004339132637879532,10052857.948003486
2006-10-18,0.008348411099408553,0.014943419861705675,0.0035165335704945406,0.016182938057132275,0.23853722921187281,0.01681051076602806,0.028056789966661985,0.1535630291495181,0.018056350490331,0.021679027876711318,0.08581920362895999,0.04804235305108797,0.0056577930735189266,0.07022790005281075,0.010537742283600814,0.11428817651128828,0.12616551033621173,0.015255607032961709,0.0043114739796952925,10096015.485113572
2006-10-19,0.008348411099408553,0.014943419861705675,0.0035165335704945406,0.016182938057132275,0.23853722921187281,0.01681051076602806,0.028056789966661985,0.1535630291495181,0.018056350490331,0.021679027876711318,0.08581920362895999,0.04804235305108797,0.0056577930735189266,0.07022790005281075,0.010537742283600814,0.11428817651128828,0.12616551033621173,0.015255607032961709,0.0043114739796952925,10095742.030196667
