,WMT,BK,CI,JPM,DD,CL,HIG,AFL,DOX,BCE,BRK.B,KO,HON,L,PEP,RSG,PG,SYY,WU,Values
2006-10-13,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,10000000.0
2006-10-20,0.052863679226144336,0.05268278153195861,0.052506992140394414,0.054651245683133585,0.0541074623213658,0.05028411316006446,0.053285428790015354,0.05142823271477534,0.05306964702551868,0.054803822199827774,0.052709417896855154,0.05193033153217635,0.05380048916258632,0.05328985973512314,0.050139685454712875,0.05484454568604631,0.051423636363235825,0.05286077246909518,0.049317856906970145,10000000.0
2006-10-27,0.052863679226144336,0.05268278153195861,0.052506992140394414,0.054651245683133585,0.0541074623213658,0.05028411316006446,0.053285428790015354,0.05142823271477534,0.05306964702551868,0.054803822199827774,0.052709417896855154,0.05193033153217635,0.05380048916258632,0.05328985973512314,0.050139685454712875,0.05484454568604631,0.051423636363235825,0.05286077246909518,0.049317856906970145,9993819.247373179
2006-11-03,0.052863679226144336,0.05268278153195861,0.052506992140394414,0.054651245683133585,0.0541074623213658,0.05028411316006446,0.053285428790015354,0.05142823271477534,0.05306964702551868,0.054803822199827774,0.052709417896855154,0.05193033153217635,0.05380048916258632,0.05328985973512314,0.050139685454712875,0.05484454568604631,0.051423636363235825,0.05286077246909518,0.049317856906970145,9982004.55582682
2006-11-10,0.0522241246954099,0.05264651713795591,0.053420341562201504,0.054792567079692885,0.05404236526874405,0.050765244519198054,0.0536546295757894,0.051449573061844334,0.05261108701772943,0.051554956082932785,0.053920589318960994,0.051996488650808415,0.05366008974511885,0.053596353090552704,0.05024973351161851,0.05466092653177184,0.05150053261752123,0.05362872885626638,0.04962515167588279,10177360.64257428
2006-11-17,0.0522241246954099,0.05264651713795591,0.053420341562201504,0.054792567079692885,0.05404236526874405,0.050765244519198054,0.0536546295757894,0.051449573061844334,0.05261108701772943,0.051554956082932785,0.053920589318960994,0.051996488650808415,0.05366008974511885,0.053596353090552704,0.05024973351161851,0.05466092653177184,0.05150053261752123,0.05362872885626638,0.04962515167588279,10092849.280557508
2006-11-24,0.054262963588021164,0.05523671754764262,0.054855582609589185,0.055020787538507775,0.053527863498996985,0.05317432340690848,0.056553089137041976,0.051039954391784007,0.048925234707318535,0.0492060740867646,0.05284429084428162,0.053248941774977444,0.054185615039695656,0.05045178309242781,0.04947221115962469,0.055059361741362826,0.05135148428390964,0.05451781650865817,0.04706590504248696,10148094.671742272
2006-12-01,0.05425549123575334,0.055010960616784746,0.057950505472869514,0.054014074908471946,0.0513369798501609,0.051521710470325305,0.05485529072452772,0.05067581080746121,0.05104848879229272,0.05202438392350924,0.053815604203195797,0.05283416523337592,0.053877634817932465,0.053992370756934326,0.04938768955397149,0.05225133877818821,0.05036275388161541,0.055592659791111484,0.04519208618151835,10179912.455423538
2006-12-08,0.05425549123575334,0.055010960616784746,0.057950505472869514,0.054014074908471946,0.0513369798501609,0.051521710470325305,0.05485529072452772,0.05067581080746121,0.05104848879229272,0.05202438392350924,0.053815604203195797,0.05283416523337592,0.053877634817932465,0.053992370756934326,0.04938768955397149,0.05225133877818821,0.05036275388161541,0.055592659791111484,0.04519208618151835,10164690.273066558
2006-12-15,0.05365271194091574,0.054876580237528706,0.0585726633780526,0.053781967509428916,0.05047046079260085,0.050810951451368144,0.05667896606443417,0.050293735349874594,0.04994150166819928,0.05284004774388265,0.053232157517045034,0.055439874544833,0.05208193526414394,0.05355542798358021,0.04971061363443147,0.052382617550657845,0.050200979150982414,0.05536272015685263,0.046114088061187775,10195016.449852403
2006-12-22,0.05307110806704736,0.05491321538612456,0.058223490418593885,0.05478989254570243,0.0504784885968988,0.04982656503556129,0.05825325344136438,0.05058546708119735,0.04773661101621594,0.05465553488834305,0.056169285506984724,0.054786506191903374,0.05336295379488217,0.05406858823054555,0.04905580454805475,0.05090583984221734,0.049831139667502175,0.05483100805538067,0.04445524768548031,10316660.224527309
2006-12-29,0.05073263690565631,0.054855112989917465,0.05959977027734038,0.054769056387966565,0.05011968281505047,0.04979760914652714,0.05881939677933309,0.05162864256349308,0.04999687363910157,0.05590028369720529,0.053107427711581785,0.05457129679849457,0.0544579134607004,0.053982238271047756,0.049314113956043994,0.050047890947735034,0.04989838373089796,0.05576569683630555,0.04263597308560178,10451072.137778863
2007-01-05,0.05073263690565631,0.054855112989917465,0.05959977027734038,0.054769056387966565,0.05011968281505047,0.04979760914652714,0.05881939677933309,0.05162864256349308,0.04999687363910157,0.05590028369720529,0.053107427711581785,0.05457129679849457,0.0544579134607004,0.053982238271047756,0.049314113956043994,0.050047890947735034,0.04989838373089796,0.05576569683630555,0.04263597308560178,10382379.835910274
2007-01-12,0.05133977142639732,0.05520436588233928,0.05755573155471809,0.055002619296814416,0.050480096471182546,0.050010875058635725,0.05830675781625901,0.05203709318211064,0.04965000221053856,0.053280665611713234,0.05218189987909132,0.0549460264386856,0.05475029884135682,0.05262839939792738,0.050546137869682144,0.05172128169025392,0.05062896024471553,0.057940115620666185,0.041788901506912564,10478714.873907994
