,WMT,BK,CI,JPM,DD,CL,HIG,AFL,DOX,BCE,BRK.B,KO,HON,L,PEP,RSG,PG,SYY,WU,Values
2006-10-13,0.13619607155858252,0.018154372213018865,0.030069916686565737,0.16561119943957814,0.01949981210335646,0.021839418684495973,0.009027623630764741,0.015072444569848863,0.0035442648197848456,0.017405696766403935,0.2010663352560403,0.08660160507282634,0.05157721053106083,0.006104243455742504,0.07116392764680078,0.011364715982953435,0.11484125890092188,0.01652566061171771,0.004334222069536105,10000000.0
2006-10-20,0.13619607155858252,0.018154372213018865,0.030069916686565737,0.16561119943957814,0.01949981210335646,0.021839418684495973,0.009027623630764741,0.015072444569848863,0.0035442648197848456,0.017405696766403935,0.2010663352560403,0.08660160507282634,0.05157721053106083,0.006104243455742504,0.07116392764680078,0.011364715982953435,0.11484125890092188,0.01652566061171771,0.004334222069536105,10000939.738325924
2006-10-27,0.1367133806013458,0.018223327365719036,0.028205180995173527,0.16624023499157728,0.019573877595979075,0.021922370627565226,0.008467790619978127,0.014137752078383307,0.003324473152980816,0.017471808249869034,0.2018300388800357,0.08693054109065207,0.051773114547255215,0.006127429002159134,0.07143422724405758,0.011407882208521765,0.11527745666369078,0.01658842948290649,0.004350684602149982,10057640.07281425
2006-11-03,0.13405034583236855,0.0178683558613359,0.02959617472704291,0.16300204774290972,0.019192598774750925,0.02300351526322202,0.008885396295941969,0.013862363340468182,0.0032597158661960275,0.01713147555791418,0.21178368246889,0.08523722436925919,0.05076462800752419,0.006429615162068427,0.07004276263386951,0.01118566850253291,0.11303197144619151,0.017406520366146302,0.004265937781367575,10225052.662792621
2006-11-10,0.13405034583236855,0.0178683558613359,0.02959617472704291,0.16300204774290972,0.019192598774750925,0.02300351526322202,0.008885396295941969,0.013862363340468182,0.0032597158661960275,0.01713147555791418,0.21178368246889,0.08523722436925919,0.05076462800752419,0.006429615162068427,0.07004276263386951,0.01118566850253291,0.11303197144619151,0.017406520366146302,0.004265937781367575,10208290.27403424
2006-11-17,0.13405034583236855,0.0178683558613359,0.02959617472704291,0.16300204774290972,0.019192598774750925,0.02300351526322202,0.008885396295941969,0.013862363340468182,0.0032597158661960275,0.01713147555791418,0.21178368246889,0.08523722436925919,0.05076462800752419,0.006429615162068427,0.07004276263386951,0.01118566850253291,0.11303197144619151,0.017406520366146302,0.004265937781367575,10211278.300942043
2006-11-24,0.13869045154440868,0.0172748164337416,0.030620635936394965,0.15758755169946725,0.01855507150703727,0.022239399449324817,0.00859024697877096,0.013401892367869669,0.00337254978778306,0.017724475576663543,0.21911450036897706,0.08240586966855452,0.04907836159983407,0.006652174036157729,0.07246726829975501,0.01081411023876344,0.10927734890830054,0.018009040964479556,0.004124234633716221,10267728.373959979
2006-12-01,0.13869045154440868,0.0172748164337416,0.030620635936394965,0.15758755169946725,0.01855507150703727,0.022239399449324817,0.00859024697877096,0.013401892367869669,0.00337254978778306,0.017724475576663543,0.21911450036897706,0.08240586966855452,0.04907836159983407,0.006652174036157729,0.07246726829975501,0.01081411023876344,0.10927734890830054,0.018009040964479556,0.004124234633716221,10246413.098965857
2006-12-08,0.13869045154440868,0.0172748164337416,0.030620635936394965,0.15758755169946725,0.01855507150703727,0.022239399449324817,0.00859024697877096,0.013401892367869669,0.00337254978778306,0.017724475576663543,0.21911450036897706,0.08240586966855452,0.04907836159983407,0.006652174036157729,0.07246726829975501,0.01081411023876344,0.10927734890830054,0.018009040964479556,0.004124234633716221,10164976.837185048
2006-12-15,0.13989218717148394,0.017424500583792586,0.030885959963526596,0.15895302836460146,0.018715848909119603,0.020961394817321045,0.008664680407495209,0.013518018109399467,0.0031787435539289825,0.017878055967631423,0.221013100442522,0.08311990634777836,0.049503619539340585,0.006709814302288062,0.06830287956404396,0.010192668863620613,0.11022422363509736,0.016974137219754142,0.00388723223725449,10272256.94541196
2006-12-22,0.13852561956884515,0.017254285516951275,0.0327301141921098,0.15740026074193134,0.018533019022102876,0.020756628821144592,0.009182035446214223,0.014325158644709115,0.0033685415519022458,0.018945527807603012,0.21885408535432938,0.08230793125863343,0.05245940622725498,0.006644268005310169,0.06763564786035531,0.010093099535732597,0.1091474740603617,0.017987637430442974,0.0038492589540656775,10539129.506139671
2006-12-29,0.13852561956884515,0.017254285516951275,0.0327301141921098,0.15740026074193134,0.018533019022102876,0.020756628821144592,0.009182035446214223,0.014325158644709115,0.0033685415519022458,0.018945527807603012,0.21885408535432938,0.08230793125863343,0.05245940622725498,0.006644268005310169,0.06763564786035531,0.010093099535732597,0.1091474740603617,0.017987637430442974,0.0038492589540656775,10357895.705510221
2007-01-05,0.14584792407571662,0.016975295990269427,0.03220089152115489,0.15485521045857714,0.018233353283994946,0.020421008893873032,0.00903356846271621,0.01409353101654663,0.0033140746304959634,0.018639192095783002,0.2153153704289616,0.08097707054223643,0.05161117493428292,0.006536834916636187,0.07121079021087856,0.010626609138135547,0.10738263702340047,0.018938443202218956,0.0037870191741214082,10462752.253275603
2007-01-12,0.14584792407571662,0.016975295990269427,0.03220089152115489,0.15485521045857714,0.018233353283994946,0.020421008893873032,0.00903356846271621,0.01409353101654663,0.0033140746304959634,0.018639192095783002,0.2153153704289616,0.08097707054223643,0.05161117493428292,0.006536834916636187,0.07121079021087856,0.010626609138135547,0.10738263702340047,0.018938443202218956,0.0037870191741214082,10350552.359840471
