,WMT,BK,CI,JPM,DD,CL,HIG,AFL,DOX,BCE,BRK.B,KO,HON,L,PEP,RSG,PG,SYY,WU,Values
2006-10-13,0.1314155987205253,0.017517154984480907,0.029014464658340827,0.15979825761578667,0.01881537002627923,0.022551383304697952,0.00871075465601967,0.015563805966812507,0.0036598077833026764,0.016794757995064528,0.20762109383656954,0.08942481569739887,0.04976685395333502,0.005889984926086502,0.07348387029047124,0.010965815225780164,0.1185850816856811,0.015945611049485747,0.004475517623881558,10000000.0
2006-10-20,0.1318632411661285,0.01751667658091198,0.028916860819490225,0.16576450739229467,0.01932365929765514,0.02152402184339626,0.008810157836367698,0.015192766061516478,0.0036865821660333983,0.01747044797505639,0.20772039374849152,0.0881451845335571,0.05082130983538017,0.005957694132303144,0.06993475687032538,0.01141547032357726,0.11574767693400666,0.01599904699500599,0.004189545488501822,10000000.0
2006-10-27,0.1318632411661285,0.01751667658091198,0.028916860819490225,0.16576450739229467,0.01932365929765514,0.02152402184339626,0.008810157836367698,0.015192766061516478,0.0036865821660333983,0.01747044797505639,0.20772039374849152,0.0881451845335571,0.05082130983538017,0.005957694132303144,0.06993475687032538,0.01141547032357726,0.11574767693400666,0.01599904699500599,0.004189545488501822,10000939.738325924
2006-11-03,0.1304088998812709,0.01766180658360811,0.028414526427967164,0.16520982463586814,0.01953046312808607,0.02182428733155409,0.008593600089962596,0.015065420306307625,0.0036318375647914803,0.01738351860465533,0.21000644520849046,0.08754889130267378,0.050722746278267866,0.005971469662538736,0.06986603842362216,0.011515047678603152,0.11599162888454644,0.01622198467489302,0.0044315633322927275,10058541.988172485
2006-11-10,0.12832923692428022,0.01758088245159991,0.028796157431743623,0.16499168191400237,0.019430962858525518,0.02194726234833619,0.008619428521043472,0.015012949516252212,0.0035864277744237895,0.016289278787691115,0.2139950022223962,0.08731888247443978,0.050393268407667086,0.00598241435112139,0.06974657295252956,0.011431780660088651,0.11571247443003763,0.016393533842277177,0.0044418021315444514,10227957.698372854
2006-11-17,0.12832923692428022,0.01758088245159991,0.028796157431743623,0.16499168191400237,0.019430962858525518,0.02194726234833619,0.008619428521043472,0.015012949516252212,0.0035864277744237895,0.016289278787691115,0.2139950022223962,0.08731888247443978,0.050393268407667086,0.00598241435112139,0.06974657295252956,0.011431780660088651,0.11571247443003763,0.016393533842277177,0.0044418021315444514,10216038.825300166
2006-11-24,0.13277740905668658,0.018368137671905607,0.029445229875493292,0.16498081419978314,0.019164880736811066,0.0228919128441845,0.009046776114656218,0.014830669781865782,0.0033211154301918317,0.015481619509262022,0.20883982142335428,0.08904537603042945,0.05067238873793245,0.00560769014382529,0.06837804350937951,0.011466590559076754,0.11489144717115343,0.016595096053421812,0.004194981150586827,10220939.204319723
2006-12-01,0.13299801717567974,0.01832598292696238,0.03116248850295851,0.16225360999906333,0.018413540986158067,0.022220364027088248,0.008790970381063008,0.014751357189653268,0.003471480485890113,0.01639779320165677,0.2130611394279394,0.08851075117947137,0.05047504078038799,0.006012023528372029,0.0683840540670674,0.010901376539329493,0.11288206721083353,0.01695272650057955,0.004035215889845663,10275926.167611491
2006-12-08,0.13299801717567974,0.01832598292696238,0.03116248850295851,0.16225360999906333,0.018413540986158067,0.022220364027088248,0.008790970381063008,0.014751357189653268,0.003471480485890113,0.01639779320165677,0.2130611394279394,0.08851075117947137,0.05047504078038799,0.006012023528372029,0.0683840540670674,0.010901376539329493,0.11288206721083353,0.01695272650057955,0.004035215889845663,10252740.071534835
2006-12-15,0.13299801717567974,0.01832598292696238,0.03116248850295851,0.16225360999906333,0.018413540986158067,0.022220364027088248,0.008790970381063008,0.014751357189653268,0.003471480485890113,0.01639779320165677,0.2130611394279394,0.08851075117947137,0.05047504078038799,0.006012023528372029,0.0683840540670674,0.010901376539329493,0.11288206721083353,0.01695272650057955,0.004035215889845663,10173183.296619782
2006-12-22,0.13007321010650053,0.01813148303353999,0.030627504457079773,0.163430965571255,0.01820885349314218,0.0215442314724919,0.008933287248618046,0.014669660633720808,0.0032808088732666344,0.01676998091114617,0.22228250981155476,0.08648157873940385,0.051133514284124965,0.006001204453600534,0.06672250427331139,0.010474612531600588,0.11078725492025712,0.01660063043064153,0.0038462047547442274,10282698.92800913
2006-12-29,0.12627009495671532,0.018393184858392787,0.03183767375992334,0.16590234486516517,0.018359799766968832,0.021865626127679037,0.009159991009863823,0.015204368161801169,0.0034894386195932314,0.017417900257399383,0.21342487062479282,0.08747775834348259,0.05299197991051595,0.006084538572603273,0.06811402394486546,0.010457780177591145,0.11265716762158963,0.01714544858449434,0.0037460098365627464,10547287.13987962
2007-01-05,0.12627009495671532,0.018393184858392787,0.03183767375992334,0.16590234486516517,0.018359799766968832,0.021865626127679037,0.009159991009863823,0.015204368161801169,0.0034894386195932314,0.017417900257399383,0.21342487062479282,0.08747775834348259,0.05299197991051595,0.006084538572603273,0.06811402394486546,0.010457780177591145,0.11265716762158963,0.01714544858449434,0.0037460098365627464,10368570.2158679
2007-01-12,0.12752901541986128,0.01847375808825589,0.030685084649438806,0.16628100564950418,0.01845532968036857,0.021915928978207336,0.0090622362291465,0.01529440915248274,0.0034583902023964334,0.016568890731482506,0.20929152973687626,0.08790461314792974,0.053171345174257104,0.005920234748610013,0.06967793733051857,0.010786114131278985,0.11408101146361661,0.017778826070279335,0.003664339415489149,10467185.979827018
